locality string,country,Prefecture,county,latitude,longitude,correction status,precision,error polygon,multiple results,uncertainty radius,Island,TNS No.
Aomori,Japan,Aomori,,,,,,,,,,28810
Fukaura,Japan,Aomori,,,,,,,,,,168723
Hachinohe,Japan,Aomori,,,,,,,,,,28660
Higashidori,Japan,Aomori,,,,,,,,,,166548
Ohma,Japan,Aomori,,,,,,,,,,44401
Tsuchiya,Japan,Aomori,,,,,,,,,,168729
Amatsu,Japan,Chiba,,,,,,,,,,161376
Futtsu,Japan,Chiba,,,,,,,,,,28669
Isumi,Japan,Chiba,,,,,,,,,,181468
Kominato,Japan,Chiba,,,,,,,,,,158118
Ohara,Japan,Chiba,,,,,,,,,,163566
Shirahama,Japan,Chiba,,,,,,,,,,39343
Tateyama,Japan,Chiba,,,,,,,,,,28749
,Japan,Chiba,,,,,,,,,,166546
,Japan,Ehime,,,,,,,,,,155604
Hiroshima,Japan,Hiroshima,,,,,,,,,,150009
Osakikamishima,Japan,Hiroshima,,,,,,,,,,46444
Muroran,Japan,Hokkaido,,,,,,,,,,179822
Rumoi,Japan,Hokkaido,,,,,,,,,,169438
Hitachi,Japan,Ibaraki,,,,,,,,,,158834
Kitaibaraki,Japan,Ibaraki,,,,,,,,,,163902
Takahagi,Japan,Ibaraki,,,,,,,,,,154597
Yamada,Japan,Iwate,,,,,,,,,,176285
Shido,Japan,Kagawa,,,,,,,,,,162719
Takamatsu,Japan,Kagawa,,,,,,,,,,162589
Uchinomi,Japan,Kagawa,,,,,,,,,,162754
,Japan,Kagawa,,,,,,,,,,163055
Chigasaki,Japan,Kanagawa,,,,,,,,,,172989
Hayama,Japan,Kanagawa,,,,,,,,,,169776
Kamakura,Japan,Kanagawa,,,,,,,,,,151866
Miura,Japan,Kanagawa,,,,,,,,,,159857
Yokohama,Japan,Kanagawa,,,,,,,,,,158119
Yokosuka,Japan,Kanagawa,,,,,,,,,,172901
Zushi,Japan,Kanagawa,,,,,,,,,,182583
,Japan,Kanagawa,,,,,,,,,,172900
Hamashima,Japan,Mie,,,,,,,,,,28814
Toba,Japan,Mie,,,,,,,,,Shinju-jima,154261
,Japan,Mie,,,,,,,,,,28776
Onagawa,Japan,Miyagi,,,,,,,,,,172683
Fukue,Japan,Nagasaki,,,,,,,,,Fukue,153062
Fukue,Japan,Nagasaki,,,,,,,,,,49459
"Iduhara, Tsushima",Japan,Nagasaki,,,,,,,,,,28755
Aikawa,Japan,Niigata,,,,,,,,,Sado,166824
Niigata,Japan,Niigata,,,,,,,,,,170717
Ryotsu,Japan,Niigata,,,,,,,,,Sado,182581
Ryotsu,Japan,Niigata,,,,,,,,,,166823
Sado,Japan,Niigata,,,,,,,,,Sado,175123
,Japan,Niigata,,,,,,,,,Sado,28746
Minamiizu,Japan,Shizuoka,,,,,,,,,,176742
Minami-Izu,Japan,Shizuoka,,,,,,,,,,28664
Shimoda,Japan,Shizuoka,,,,,,,,,,161375
,Japan,Shizuoka,,,,,,,,,,166550
,Japan,Tottori,,,,,,,,,,28758
Hidaka,Japan,Wakayama,,,,,,,,,,28674
Kushimoto,Japan,Wakayama,,,,,,,,,,45160
,Japan,Yamaguchi,,,,,,,,,Hando-jima,48617
